state_fips,state_abbr,year,electric_bill_monthly,electric_bill_annual,gas_price_per_mcf,gas_bill_monthly,gas_bill_annual,construction_flag_gas
01,AL,2008,132.15654543166235,1585.878545179948,18.3,91.5,1098.0,estimated_from_price
01,AL,2009,131.4233946692268,1577.0807360307217,18.12,90.60000000000001,1087.2,estimated_from_price
01,AL,2010,147.6894083017012,1772.2728996204146,15.79,78.94999999999999,947.4,estimated_from_price
01,AL,2011,142.4059273087918,1708.8711277055017,15.08,75.4,904.8,estimated_from_price
01,AL,2012,135.26334002331654,1623.1600802797984,16.2,81.0,972.0,estimated_from_price
01,AL,2013,136.35753055494052,1636.2903666592863,15.47,77.35000000000001,928.2,estimated_from_price
01,AL,2014,145.24896418547416,1742.98757022569,14.62,73.1,877.1999999999999,estimated_from_price
01,AL,2015,142.4831104814895,1709.797325777874,14.13,70.65,847.8000000000001,estimated_from_price
01,AL,2016,145.54516988143396,1746.5420385772077,14.06,70.3,843.6,estimated_from_price
01,AL,2017,142.55483847068476,1710.658061648217,16.12,80.60000000000001,967.2,estimated_from_price
01,AL,2018,150.54397782673806,1806.5277339208567,15.22,76.10000000000001,913.2,estimated_from_price
01,AL,2019,150.45259714519636,1805.4311657423564,15.63,78.15,937.8000000000001,estimated_from_price
01,AL,2020,143.95420172654414,1727.4504207185296,16.01,80.05000000000001,960.6000000000001,estimated_from_price
01,AL,2021,,,15.72,78.60000000000001,943.2,estimated_from_price
01,AL,2022,,,17.36,86.8,1041.6,estimated_from_price
01,AL,2023,,,20.1,100.5,1206.0,estimated_from_price
02,AK,2008,109.30168685335634,1311.6202422402762,8.72,43.6,523.2,estimated_from_price
02,AK,2009,112.12564953320111,1345.5077943984134,10.23,51.150000000000006,613.8000000000001,estimated_from_price
02,AK,2010,104.28770340300146,1251.4524408360176,8.89,44.45,533.4000000000001,estimated_from_price
02,AK,2011,114.41730112650856,1373.0076135181027,8.77,43.849999999999994,526.1999999999999,estimated_from_price
02,AK,2012,116.88967157459014,1402.6760588950817,8.47,42.35,508.20000000000005,estimated_from_price
02,AK,2013,114.56165659844318,1374.7398791813182,8.85,44.25,531.0,estimated_from_price
02,AK,2014,115.79459774444105,1389.5351729332926,9.11,45.55,546.5999999999999,estimated_from_price
02,AK,2015,119.64099730057177,1435.6919676068612,9.64,48.2,578.4000000000001,estimated_from_price
02,AK,2016,119.84425380686766,1438.131045682412,9.81,49.050000000000004,588.6,estimated_from_price
02,AK,2017,127.82773357788146,1533.9328029345775,10.52,52.599999999999994,631.1999999999999,estimated_from_price
02,AK,2018,125.56748491150945,1506.8098189381135,10.99,54.95,659.4,estimated_from_price
02,AK,2019,127.29066565268992,1527.487987832279,11.11,55.55,666.5999999999999,estimated_from_price
02,AK,2020,124.66001285923369,1495.9201543108043,11.14,55.7,668.4000000000001,estimated_from_price
02,AK,2021,,,10.94,54.699999999999996,656.4,estimated_from_price
02,AK,2022,,,11.08,55.4,664.8,estimated_from_price
02,AK,2023,,,11.39,56.95,683.4000000000001,estimated_from_price
04,AZ,2008,112.46540144214765,1349.5848173057718,17.6,88.0,1056.0,estimated_from_price
04,AZ,2009,115.42005796035163,1385.0406955242195,17.65,88.25,1059.0,estimated_from_price
04,AZ,2010,116.08797569610157,1393.0557083532187,15.87,79.35,952.1999999999999,estimated_from_price
04,AZ,2011,118.61873375612385,1423.4248050734861,15.04,75.19999999999999,902.4,estimated_from_price
04,AZ,2012,119.84008717899928,1438.0810461479914,15.75,78.75,945.0,estimated_from_price
04,AZ,2013,122.84882317498513,1474.1858780998216,13.92,69.6,835.2,estimated_from_price
04,AZ,2014,120.5059008786635,1446.070810543962,17.2,86.0,1032.0,estimated_from_price
04,AZ,2015,124.67458072461822,1496.0949686954186,17.04,85.19999999999999,1022.4,estimated_from_price
04,AZ,2016,125.188374530516,1502.260494366192,15.28,76.39999999999999,916.8,estimated_from_price
04,AZ,2017,128.39869818939079,1540.7843782726895,15.78,78.89999999999999,946.8,estimated_from_price
04,AZ,2018,131.3104625061246,1575.725550073495,15.35,76.75,921.0,estimated_from_price
04,AZ,2019,126.08897384663608,1513.067686159633,13.46,67.30000000000001,807.6,estimated_from_price
04,AZ,2020,136.6969071415098,1640.3628856981177,13.1,65.5,786.0,estimated_from_price
04,AZ,2021,,,15.52,77.6,931.1999999999999,estimated_from_price
04,AZ,2022,,,17.81,89.05,1068.6,estimated_from_price
04,AZ,2023,,,19.44,97.2,1166.4,estimated_from_price
05,AR,2008,102.68615510782058,1232.233861293847,14.09,70.45,845.4,estimated_from_price
05,AR,2009,98.37697075604486,1180.5236490725383,13.39,66.95,803.4000000000001,estimated_from_price
05,AR,2010,107.2784697690487,1287.3416372285844,11.53,57.65,691.8,estimated_from_price
05,AR,2011,106.26702381866556,1275.2042858239868,11.46,57.300000000000004,687.6,estimated_from_price
05,AR,2012,104.13560794522755,1249.6272953427306,11.82,59.1,709.2,estimated_from_price
05,AR,2013,108.63844350889765,1303.6613221067719,10.46,52.300000000000004,627.6,estimated_from_price
05,AR,2014,108.62901289136356,1303.5481546963626,10.39,51.95,623.4000000000001,estimated_from_price
05,AR,2015,110.2158760719356,1322.590512863227,11.58,57.9,694.8,estimated_from_price
05,AR,2016,107.44469696471607,1289.336363576593,11.17,55.85,670.2,estimated_from_price
05,AR,2017,105.64474428150807,1267.7369313780969,12.97,64.85000000000001,778.2,estimated_from_price
05,AR,2018,113.36275177823971,1360.3530213388765,11.77,58.849999999999994,706.1999999999999,estimated_from_price
05,AR,2019,109.46252454893202,1313.5502945871842,11.05,55.25,663.0,estimated_from_price
05,AR,2020,110.33104820927868,1323.9725785113442,12.28,61.4,736.8,estimated_from_price
05,AR,2021,,,12.55,62.75,753.0,estimated_from_price
05,AR,2022,,,16.95,84.75,1017.0,estimated_from_price
05,AR,2023,,,17.86,89.3,1071.6,estimated_from_price
06,CA,2008,81.09900847520207,973.1881017024248,12.75,63.75,765.0,estimated_from_price
06,CA,2009,85.44876223166285,1025.3851467799543,9.43,47.15,565.8,estimated_from_price
06,CA,2010,82.85480076319097,994.2576091582916,9.92,49.6,595.2,estimated_from_price
06,CA,2011,83.70482509906704,1004.4579011888045,9.93,49.65,595.8,estimated_from_price
06,CA,2012,87.9107782973043,1054.9293395676516,9.14,45.7,548.4000000000001,estimated_from_price
06,CA,2013,91.03166268193252,1092.3799521831902,9.92,49.6,595.2,estimated_from_price
06,CA,2014,91.26256368027079,1095.1507641632495,11.51,57.55,690.6,estimated_from_price
06,CA,2015,94.5880083559256,1135.0561002711072,11.39,56.95,683.4000000000001,estimated_from_price
06,CA,2016,95.2004714270956,1142.4056571251472,11.84,59.2,710.4,estimated_from_price
06,CA,2017,101.49400102866572,1217.9280123439887,12.49,62.45,749.4,estimated_from_price
06,CA,2018,102.89918764796391,1234.790251775567,12.3,61.5,738.0,estimated_from_price
06,CA,2019,101.91645328617149,1222.997439434058,12.95,64.75,777.0,estimated_from_price
06,CA,2020,116.93596137851927,1403.2315365422312,14.14,70.7,848.4000000000001,estimated_from_price
06,CA,2021,,,16.34,81.7,980.4,estimated_from_price
06,CA,2022,,,20.15,100.75,1209.0,estimated_from_price
06,CA,2023,,,21.84,109.2,1310.4,estimated_from_price
08,CO,2008,68.80149819626911,825.6179783552293,9.77,48.849999999999994,586.1999999999999,estimated_from_price
08,CO,2009,68.6871741152027,824.2460893824323,8.8,44.0,528.0,estimated_from_price
08,CO,2010,78.21828477269122,938.6194172722946,8.13,40.650000000000006,487.80000000000007,estimated_from_price
08,CO,2011,80.11852291084985,961.4222749301982,8.25,41.25,495.0,estimated_from_price
08,CO,2012,80.93959584804318,971.2751501765182,8.28,41.4,496.79999999999995,estimated_from_price
08,CO,2013,84.90641270602227,1018.8769524722672,7.85,39.25,471.0,estimated_from_price
08,CO,2014,83.72532124925539,1004.7038549910646,8.89,44.45,533.4000000000001,estimated_from_price
08,CO,2015,83.4181371612995,1001.0176459355939,8.27,41.349999999999994,496.2,estimated_from_price
08,CO,2016,83.84626037800633,1006.1551245360761,7.35,36.75,441.0,estimated_from_price
08,CO,2017,82.46655462126118,989.5986554551341,8.08,40.4,484.8,estimated_from_price
08,CO,2018,83.89923230836932,1006.7907877004318,7.74,38.7,464.40000000000003,estimated_from_price
08,CO,2019,83.06615772860725,996.793892743287,7.77,38.849999999999994,466.2,estimated_from_price
08,CO,2020,87.88057359801063,1054.5668831761275,7.22,36.1,433.2,estimated_from_price
08,CO,2021,,,9.11,45.55,546.5999999999999,estimated_from_price
08,CO,2022,,,12.72,63.6,763.2,estimated_from_price
08,CO,2023,,,11.88,59.400000000000006,712.8000000000001,estimated_from_price
09,CT,2008,142.7757079499752,1713.3084953997027,17.85,89.25,1071.0,estimated_from_price
09,CT,2009,147.25536937870675,1767.064432544481,14.81,74.05,888.6,estimated_from_price
09,CT,2010,144.32957617903563,1731.9549141484276,14.93,74.65,895.8,estimated_from_price
09,CT,2011,134.0668728299208,1608.8024739590496,13.83,69.15,829.8,estimated_from_price
09,CT,2012,126.75400032951775,1521.048003954213,14.17,70.85,850.2,estimated_from_price
09,CT,2013,132.0664168092247,1584.7970017106963,13.32,66.6,799.2,estimated_from_price
09,CT,2014,144.10188004386762,1729.2225605264116,14.13,70.65,847.8000000000001,estimated_from_price
09,CT,2015,153.13042760015375,1837.565131201845,12.5,62.5,750.0,estimated_from_price
09,CT,2016,142.18863047878997,1706.2635657454798,12.91,64.55,774.6,estimated_from_price
09,CT,2017,139.97011409866113,1679.6413691839334,13.95,69.75,837.0,estimated_from_price
09,CT,2018,153.46086090253314,1841.5303308303978,13.92,69.6,835.2,estimated_from_price
09,CT,2019,150.71467524749067,1808.576102969888,14.61,73.05,876.5999999999999,estimated_from_price
09,CT,2020,161.54738550919765,1938.568626110372,14.68,73.4,880.8,estimated_from_price
09,CT,2021,,,16.06,80.3,963.5999999999999,estimated_from_price
09,CT,2022,,,18.36,91.8,1101.6,estimated_from_price
09,CT,2023,,,18.88,94.39999999999999,1132.8,estimated_from_price
10,DE,2008,131.22793360727562,1574.7352032873073,16.07,80.35,964.2,estimated_from_price
10,DE,2009,129.07403081485694,1548.8883697782833,17.79,88.94999999999999,1067.3999999999999,estimated_from_price
10,DE,2010,138.23945463511345,1658.8734556213612,15.12,75.6,907.1999999999999,estimated_from_price
10,DE,2011,132.829618689019,1593.955424268228,15.38,76.9,922.8000000000001,estimated_from_price
10,DE,2012,127.92501462507312,1535.1001755008774,15.24,76.2,914.4,estimated_from_price
10,DE,2013,122.25054251885702,1467.0065102262843,13.65,68.25,819.0,estimated_from_price
10,DE,2014,126.25519008215791,1515.0622809858949,13.21,66.05000000000001,792.6,estimated_from_price
10,DE,2015,131.18129376337845,1574.1755251605414,12.62,63.099999999999994,757.1999999999999,estimated_from_price
10,DE,2016,127.03446444388258,1524.413573326591,11.88,59.400000000000006,712.8000000000001,estimated_from_price
10,DE,2017,121.72951612915845,1460.7541935499014,12.84,64.2,770.4,estimated_from_price
10,DE,2018,122.43486129770986,1469.2183355725183,12.6,63.0,756.0,estimated_from_price
10,DE,2019,119.16195889035379,1429.9435066842454,12.1,60.5,726.0,estimated_from_price
10,DE,2020,117.08580191032753,1405.0296229239304,12.95,64.75,777.0,estimated_from_price
10,DE,2021,,,13.14,65.7,788.4000000000001,estimated_from_price
10,DE,2022,,,15.0,75.0,900.0,estimated_from_price
10,DE,2023,,,17.69,88.45,1061.4,estimated_from_price
11,DC,2008,93.97253755171276,1127.670450620553,16.49,82.44999999999999,989.3999999999999,estimated_from_price
11,DC,2009,97.98206143238019,1175.7847371885623,13.92,69.6,835.2,estimated_from_price
11,DC,2010,108.93210283454187,1307.1852340145024,13.53,67.64999999999999,811.8,estimated_from_price
11,DC,2011,100.29563448826904,1203.5476138592285,13.06,65.3,783.6,estimated_from_price
11,DC,2012,88.51220038868495,1062.1464046642193,12.1,60.5,726.0,estimated_from_price
11,DC,2013,90.50542094095182,1086.065051291422,12.45,62.25,747.0,estimated_from_price
11,DC,2014,91.90428443107517,1102.851413172902,13.05,65.25,783.0,estimated_from_price
11,DC,2015,109.20862815140482,1310.503537816858,11.98,59.900000000000006,718.8000000000001,estimated_from_price
11,DC,2016,98.79063348137181,1185.4876017764618,10.9,54.5,654.0,estimated_from_price
11,DC,2017,96.51845093874947,1158.2214112649935,12.53,62.65,751.8,estimated_from_price
11,DC,2018,101.01154473143418,1212.1385367772102,11.78,58.9,706.8,estimated_from_price
11,DC,2019,97.62485076715426,1171.498209205851,12.81,64.05,768.6,estimated_from_price
11,DC,2020,88.89192997918288,1066.7031597501946,11.92,59.6,715.2,estimated_from_price
11,DC,2021,,,14.29,71.44999999999999,857.4,estimated_from_price
11,DC,2022,,,16.68,83.4,1000.8,estimated_from_price
11,DC,2023,,,16.79,83.94999999999999,1007.4,estimated_from_price
12,FL,2008,130.5150556030291,1566.1806672363493,21.07,105.35,1264.2,estimated_from_price
12,FL,2009,140.32743433647008,1683.9292120376408,20.18,100.9,1210.8,estimated_from_price
12,FL,2010,136.61141961977538,1639.3370354373046,17.89,89.45,1073.4,estimated_from_price
12,FL,2011,130.10291912880123,1561.235029545615,18.16,90.8,1089.6,estimated_from_price
12,FL,2012,123.44817191768804,1481.3780630122565,18.34,91.7,1100.4,estimated_from_price
12,FL,2013,121.53241014511191,1458.388921741343,18.46,92.30000000000001,1107.6000000000001,estimated_from_price
12,FL,2014,129.85516097515622,1558.2619317018748,19.02,95.1,1141.2,estimated_from_price
12,FL,2015,132.16423413130966,1585.970809575716,19.34,96.7,1160.4,estimated_from_price
12,FL,2016,123.3737400830279,1480.4848809963348,20.27,101.35,1216.2,estimated_from_price
12,FL,2017,126.43649152231482,1517.2378982677778,21.15,105.75,1269.0,estimated_from_price
12,FL,2018,128.10186229711303,1537.2223475653564,21.34,106.7,1280.4,estimated_from_price
12,FL,2019,129.65181020058236,1555.8217224069883,21.66,108.3,1299.6,estimated_from_price
12,FL,2020,128.6358901066055,1543.630681279266,21.38,106.89999999999999,1282.8,estimated_from_price
12,FL,2021,,,22.9,114.5,1374.0,estimated_from_price
12,FL,2022,,,26.34,131.7,1580.4,estimated_from_price
12,FL,2023,,,25.17,125.85000000000001,1510.2,estimated_from_price
13,GA,2008,113.95690077936223,1367.4828093523467,18.26,91.30000000000001,1095.6000000000001,estimated_from_price
13,GA,2009,114.64140912057901,1375.6969094469482,16.3,81.5,978.0,estimated_from_price
13,GA,2010,127.40808070094516,1528.896968411342,15.17,75.85,910.2,estimated_from_price
13,GA,2011,131.15075711013432,1573.8090853216117,15.72,78.60000000000001,943.2,estimated_from_price
13,GA,2012,122.72951002068537,1472.7541202482244,16.23,81.15,973.8000000000001,estimated_from_price
13,GA,2013,124.66938739616938,1496.0326487540326,14.6,73.0,876.0,estimated_from_price
13,GA,2014,134.14253981352766,1609.710477762332,14.45,72.25,867.0,estimated_from_price
13,GA,2015,129.46055660789048,1553.526679294686,14.62,73.1,877.1999999999999,estimated_from_price
13,GA,2016,130.8683540305707,1570.4202483668487,14.56,72.8,873.6,estimated_from_price
13,GA,2017,126.38354049059761,1516.6024858871713,16.93,84.65,1015.8,estimated_from_price
13,GA,2018,131.05366663749822,1572.6439996499787,13.98,69.9,838.8000000000001,estimated_from_price
13,GA,2019,131.8356526014497,1582.0278312173964,14.88,74.4,892.8000000000001,estimated_from_price
13,GA,2020,129.91581374733116,1558.9897649679738,15.45,77.25,927.0,estimated_from_price
13,GA,2021,,,15.91,79.55,954.6,estimated_from_price
13,GA,2022,,,18.06,90.3,1083.6,estimated_from_price
13,GA,2023,,,19.03,95.15,1141.8000000000002,estimated_from_price
15,HI,2008,203.94298960784508,2447.315875294141,44.57,222.85,2674.2,estimated_from_price
15,HI,2009,149.25326738413068,1791.039208609568,36.37,181.85,2182.2,estimated_from_price
15,HI,2010,168.8649389243743,2026.3792670924913,44.5,222.5,2670.0,estimated_from_price
15,HI,2011,202.71648492367433,2432.597819084092,55.28,276.4,3316.8,estimated_from_price
15,HI,2012,203.15275381384072,2437.8330457660886,52.86,264.3,3171.6,estimated_from_price
